DEVICES INFO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DeviceID,ConfigID,SystemID,DeviceType,Status,Remarks,,SystemID,ConfigID,FacilityID,SystemType,Status,Remarks,,FacilityID,ConfigID,FacilityName,FacilityType,Area,Status,Remarks
C4-01406,,B4-01406,RFID Reader,,ACS,,B4-03406,,A4-0406,EMS,,,,,,,,,,
C4-01407,,B4-01407,RFID Reader,,ACS,,B4-03407,,A4-0407,EMS,,,,,,,,,,
C4-01408,,B4-01408,RFID Reader,,ACS,,B4-03408,,A4-0408,EMS,,,,,,,,,,
C4-01409,,B4-01409,RFID Reader,,ACS,,B4-03409,,A4-0409,EMS,,,,,,,,,,
C4-01410,,B4-01410,RFID Reader,,ACS,,B4-03410,,A4-0410,EMS,,,,,,,,,,
C4-01411,,B4-01411,RFID Reader,,ACS,,B4-03411,,A4-0411,EMS,,,,,,,,,,
C4-01412,,B4-01412,RFID Reader,,ACS,,B4-03412,,A4-0412,EMS,,,,,,,,,,
C5-01501,,B5-01501,RFID Reader,,ACS,,B5-03501,,A5-0501,EMS,,,,,,,,,,
C5-01502,,B5-01502,RFID Reader,,ACS,,B5-03502,,A5-0502,EMS,,,,,,,,,,
C5-01503,,B5-01503,RFID Reader,,ACS,,B5-03503,,A5-0503,EMS,,,,,,,,,,
C5-01504,,B5-01504,RFID Reader,,ACS,,B5-03504,,A5-0504,EMS,,,,,,,,,,
C5-01505,,B5-01505,RFID Reader,,ACS,,B5-03505,,A5-0505,EMS,,,,,,,,,,
C5-01506,,B5-01506,RFID Reader,,ACS,,B5-03506,,A5-0506,EMS,,,,,,,,,,
C5-01507,,B5-01507,RFID Reader,,ACS,,B5-03507,,A5-0507,EMS,,,,,,,,,,
C5-01508,,B5-01508,RFID Reader,,ACS,,B5-03508,,A5-0508,EMS,,,,,,,,,,
C5-01509,,B5-01509,RFID Reader,,ACS,,B5-03509,,A5-0509,EMS,,,,,,,,,,
C5-01510,,B5-01510,RFID Reader,,ACS,,B5-03510,,A5-0510,EMS,,,,,,,,,,
C5-01511,,B5-01511,RFID Reader,,ACS,,B5-03511,,A5-0511,EMS,,,,,,,,,,
C5-01512,,B5-01512,RFID Reader,,ACS,,B5-03512,,A5-0512,EMS,,,,,,,,,,
C1-11101,,B1-01101,RFID Reader,,ACS,,B1-04101,,A1-0101,PAS,,,,,,,,,,
C1-11102,,B1-01102,RFID Reader,,ACS,,B1-04102,,A1-0102,PAS,,,,,,,,,,
C1-11103,,B1-01103,RFID Reader,,ACS,,B1-04103,,A1-0103,PAS,,,,,,,,,,
C1-11104,,B1-01104,RFID Reader,,ACS,,B1-04104,,A1-0104,PAS,,,,,,,,,,
C1-11105,,B1-01105,RFID Reader,,ACS,,B1-04105,,A1-0105,PAS,,,,,,,,,,
C1-11106,,B1-01106,RFID Reader,,ACS,,B1-04106,,A1-0106,PAS,,,,,,,,,,
C1-11107,,B1-01107,RFID Reader,,ACS,,B1-04107,,A1-0107,PAS,,,,,,,,,,
C1-11108,,B1-01108,RFID Reader,,ACS,,B1-04108,,A1-0108,PAS,,,,,,,,,,
C1-11109,,B1-01109,RFID Reader,,ACS,,B1-04109,,A1-0109,PAS,,,,,,,,,,
C1-11110,,B1-01110,RFID Reader,,ACS,,B1-04110,,A1-0110,PAS,,,,,,,,,,
C1-11111,,B1-01111,RFID Reader,,ACS,,B1-04111,,A1-0111,PAS,,,,,,,,,,
C1-11112,,B1-01112,RFID Reader,,ACS,,B1-04112,,A1-0112,PAS,,,,,,,,,,
C2-11201,,B2-01201,RFID Reader,,ACS,,B2-04201,,A2-0201,PAS,,,,,,,,,,
C2-11202,,B2-01202,RFID Reader,,ACS,,B2-04202,,A2-0202,PAS,,,,,,,,,,
C2-11203,,B2-01203,RFID Reader,,ACS,,B2-04203,,A2-0203,PAS,,,,,,,,,,
C2-11204,,B2-01204,RFID Reader,,ACS,,B2-04204,,A2-0204,PAS,,,,,,,,,,
C2-11205,,B2-01205,RFID Reader,,ACS,,B2-04205,,A2-0205,PAS,,,,,,,,,,
C2-11206,,B2-01206,RFID Reader,,ACS,,B2-04206,,A2-0206,PAS,,,,,,,,,,
C2-11207,,B2-01207,RFID Reader,,ACS,,B2-04207,,A2-0207,PAS,,,,,,,,,,
C2-11208,,B2-01208,RFID Reader,,ACS,,B2-04208,,A2-0208,PAS,,,,,,,,,,
C2-11209,,B2-01209,RFID Reader,,ACS,,B2-04209,,A2-0209,PAS,,,,,,,,,,
C2-11210,,B2-01210,RFID Reader,,ACS,,B2-04210,,A2-0210,PAS,,,,,,,,,,
C2-11211,,B2-01211,RFID Reader,,ACS,,B2-04211,,A2-0211,PAS,,,,,,,,,,
C2-11212,,B2-01212,RFID Reader,,ACS,,B2-04212,,A2-0212,PAS,,,,,,,,,,
C3-11301,,B3-01301,RFID Reader,,ACS,,B3-04301,,A3-0301,PAS,,,,,,,,,,
C3-11302,,B3-01302,RFID Reader,,ACS,,B3-04302,,A3-0302,PAS,,,,,,,,,,
C3-11303,,B3-01303,RFID Reader,,ACS,,B3-04303,,A3-0303,PAS,,,,,,,,,,
C3-11304,,B3-01304,RFID Reader,,ACS,,B3-04304,,A3-0304,PAS,,,,,,,,,,
C3-11305,,B3-01305,RFID Reader,,ACS,,B3-04305,,A3-0305,PAS,,,,,,,,,,
C3-11306,,B3-01306,RFID Reader,,ACS,,B3-04306,,A3-0306,PAS,,,,,,,,,,
C3-11307,,B3-01307,RFID Reader,,ACS,,B3-04307,,A3-0307,PAS,,,,,,,,,,
C3-11308,,B3-01308,RFID Reader,,ACS,,B3-04308,,A3-0308,PAS,,,,,,,,,,
C3-11309,,B3-01309,RFID Reader,,ACS,,B3-04309,,A3-0309,PAS,,,,,,,,,,
C3-11310,,B3-01310,RFID Reader,,ACS,,B3-04310,,A3-0310,PAS,,,,,,,,,,
C3-11311,,B3-01311,RFID Reader,,ACS,,B3-04311,,A3-0311,PAS,,,,,,,,,,
C3-11312,,B3-01312,RFID Reader,,ACS,,B3-04312,,A3-0312,PAS,,,,,,,,,,
C4-11401,,B4-01401,RFID Reader,,ACS,,B4-04401,,A4-0401,PAS,,,,,,,,,,
C4-11402,,B4-01402,RFID Reader,,ACS,,B4-04402,,A4-0402,PAS,,,,,,,,,,
C4-11403,,B4-01403,RFID Reader,,ACS,,B4-04403,,A4-0403,PAS,,,,,,,,,,
C4-11404,,B4-01404,RFID Reader,,ACS,,B4-04404,,A4-0404,PAS,,,,,,,,,,
C4-11405,,B4-01405,RFID Reader,,ACS,,B4-04405,,A4-0405,PAS,,,,,,,,,,
C4-11406,,B4-01406,RFID Reader,,ACS,,B4-04406,,A4-0406,PAS,,,,,,,,,,
C4-11407,,B4-01407,RFID Reader,,ACS,,B4-04407,,A4-0407,PAS,,,,,,,,,,
C4-11408,,B4-01408,RFID Reader,,ACS,,B4-04408,,A4-0408,PAS,,,,,,,,,,
C4-11409,,B4-01409,RFID Reader,,ACS,,B4-04409,,A4-0409,PAS,,,,,,,,,,
C4-11410,,B4-01410,RFID Reader,,ACS,,B4-04410,,A4-0410,PAS,,,,,,,,,,
C4-11411,,B4-01411,RFID Reader,,ACS,,B4-04411,,A4-0411,PAS,,,,,,,,,,
C4-11412,,B4-01412,RFID Reader,,ACS,,B4-04412,,A4-0412,PAS,,,,,,,,,,
C5-11501,,B5-01501,RFID Reader,,ACS,,B5-04501,,A5-0501,PAS,,,,,,,,,,
C5-11502,,B5-01502,RFID Reader,,ACS,,B5-04502,,A5-0502,PAS,,,,,,,,,,
C5-11503,,B5-01503,RFID Reader,,ACS,,B5-04503,,A5-0503,PAS,,,,,,,,,,
C5-11504,,B5-01504,RFID Reader,,ACS,,B5-04504,,A5-0504,PAS,,,,,,,,,,
C5-11505,,B5-01505,RFID Reader,,ACS,,B5-04505,,A5-0505,PAS,,,,,,,,,,
C5-11506,,B5-01506,RFID Reader,,ACS,,B5-04506,,A5-0506,PAS,,,,,,,,,,
C5-11507,,B5-01507,RFID Reader,,ACS,,B5-04507,,A5-0507,PAS,,,,,,,,,,
C5-11508,,B5-01508,RFID Reader,,ACS,,B5-04508,,A5-0508,PAS,,,,,,,,,,
C5-11509,,B5-01509,RFID Reader,,ACS,,B5-04509,,A5-0509,PAS,,,,,,,,,,
C5-11510,,B5-01510,RFID Reader,,ACS,,B5-04510,,A5-0510,PAS,,,,,,,,,,
C5-11511,,B5-01511,RFID Reader,,ACS,,B5-04511,,A5-0511,PAS,,,,,,,,,,
C5-11512,,B5-01512,RFID Reader,,ACS,,B5-04512,,A5-0512,PAS,,,,,,,,,,
C1-21101,,B1-01101,RFID Reader,,ACS,,B1-05101,,A1-0101,CCTV,,,,,,,,,,
C1-21102,,B1-01102,RFID Reader,,ACS,,B1-05102,,A1-0102,CCTV,,,,,,,,,,
C1-21103,,B1-01103,RFID Reader,,ACS,,B1-05103,,A1-0103,CCTV,,,,,,,,,,
C1-21104,,B1-01104,RFID Reader,,ACS,,B1-05104,,A1-0104,CCTV,,,,,,,,,,
C1-21105,,B1-01105,RFID Reader,,ACS,,B1-05105,,A1-0105,CCTV,,,,,,,,,,
C1-21106,,B1-01106,RFID Reader,,ACS,,B1-05106,,A1-0106,CCTV,,,,,,,,,,
C1-21107,,B1-01107,RFID Reader,,ACS,,B1-05107,,A1-0107,CCTV,,,,,,,,,,
C1-21108,,B1-01108,RFID Reader,,ACS,,B1-05108,,A1-0108,CCTV,,,,,,,,,,
C1-21109,,B1-01109,RFID Reader,,ACS,,B1-05109,,A1-0109,CCTV,,,,,,,,,,
C1-21110,,B1-01110,RFID Reader,,ACS,,B1-05110,,A1-0110,CCTV,,,,,,,,,,
C1-21111,,B1-01111,RFID Reader,,ACS,,B1-05111,,A1-0111,CCTV,,,,,,,,,,
C1-21112,,B1-01112,RFID Reader,,ACS,,B1-05112,,A1-0112,CCTV,,,,,,,,,,
C2-21201,,B2-01201,RFID Reader,,ACS,,B2-05201,,A2-0201,CCTV,,,,,,,,,,
C2-21202,,B2-01202,RFID Reader,,ACS,,B2-05202,,A2-0202,CCTV,,,,,,,,,,
C2-21203,,B2-01203,RFID Reader,,ACS,,B2-05203,,A2-0203,CCTV,,,,,,,,,,
C2-21204,,B2-01204,RFID Reader,,ACS,,B2-05204,,A2-0204,CCTV,,,,,,,,,,
C2-21205,,B2-01205,RFID Reader,,ACS,,B2-05205,,A2-0205,CCTV,,,,,,,,,,
C2-21206,,B2-01206,RFID Reader,,ACS,,B2-05206,,A2-0206,CCTV,,,,,,,,,,
C2-21207,,B2-01207,RFID Reader,,ACS,,B2-05207,,A2-0207,CCTV,,,,,,,,,,
C2-21208,,B2-01208,RFID Reader,,ACS,,B2-05208,,A2-0208,CCTV,,,,,,,,,,
C2-21209,,B2-01209,RFID Reader,,ACS,,B2-05209,,A2-0209,CCTV,,,,,,,,,,
C2-21210,,B2-01210,RFID Reader,,ACS,,B2-05210,,A2-0210,CCTV,,,,,,,,,,
C2-21211,,B2-01211,RFID Reader,,ACS,,B2-05211,,A2-0211,CCTV,,,,,,,,,,
C2-21212,,B2-01212,RFID Reader,,ACS,,B2-05212,,A2-0212,CCTV,,,,,,,,,,
C3-21301,,B3-01301,RFID Reader,,ACS,,B3-05301,,A3-0301,CCTV,,,,,,,,,,
C3-21302,,B3-01302,RFID Reader,,ACS,,B3-05302,,A3-0302,CCTV,,,,,,,,,,
C3-21303,,B3-01303,RFID Reader,,ACS,,B3-05303,,A3-0303,CCTV,,,,,,,,,,
C3-21304,,B3-01304,RFID Reader,,ACS,,B3-05304,,A3-0304,CCTV,,,,,,,,,,
C3-21305,,B3-01305,RFID Reader,,ACS,,B3-05305,,A3-0305,CCTV,,,,,,,,,,
C3-21306,,B3-01306,RFID Reader,,ACS,,B3-05306,,A3-0306,CCTV,,,,,,,,,,
C3-21307,,B3-01307,RFID Reader,,ACS,,B3-05307,,A3-0307,CCTV,,,,,,,,,,
C3-21308,,B3-01308,RFID Reader,,ACS,,B3-05308,,A3-0308,CCTV,,,,,,,,,,
C3-21309,,B3-01309,RFID Reader,,ACS,,B3-05309,,A3-0309,CCTV,,,,,,,,,,
C3-21310,,B3-01310,RFID Reader,,ACS,,B3-05310,,A3-0310,CCTV,,,,,,,,,,
C3-21311,,B3-01311,RFID Reader,,ACS,,B3-05311,,A3-0311,CCTV,,,,,,,,,,
C3-21312,,B3-01312,RFID Reader,,ACS,,B3-05312,,A3-0312,CCTV,,,,,,,,,,
C4-21401,,B4-01401,RFID Reader,,ACS,,B4-05401,,A4-0401,CCTV,,,,,,,,,,
C4-21402,,B4-01402,RFID Reader,,ACS,,B4-05402,,A4-0402,CCTV,,,,,,,,,,
C4-21403,,B4-01403,RFID Reader,,ACS,,B4-05403,,A4-0403,CCTV,,,,,,,,,,
C4-21404,,B4-01404,RFID Reader,,ACS,,B4-05404,,A4-0404,CCTV,,,,,,,,,,
C4-21405,,B4-01405,RFID Reader,,ACS,,B4-05405,,A4-0405,CCTV,,,,,,,,,,
C4-21406,,B4-01406,RFID Reader,,ACS,,B4-05406,,A4-0406,CCTV,,,,,,,,,,
C4-21407,,B4-01407,RFID Reader,,ACS,,B4-05407,,A4-0407,CCTV,,,,,,,,,,
C4-21408,,B4-01408,RFID Reader,,ACS,,B4-05408,,A4-0408,CCTV,,,,,,,,,,
C4-21409,,B4-01409,RFID Reader,,ACS,,B4-05409,,A4-0409,CCTV,,,,,,,,,,
C4-21410,,B4-01410,RFID Reader,,ACS,,B4-05410,,A4-0410,CCTV,,,,,,,,,,
C4-21411,,B4-01411,RFID Reader,,ACS,,B4-05411,,A4-0411,CCTV,,,,,,,,,,
C4-21412,,B4-01412,RFID Reader,,ACS,,B4-05412,,A4-0412,CCTV,,,,,,,,,,
C5-21501,,B5-01501,RFID Reader,,ACS,,B5-05501,,A5-0501,CCTV,,,,,,,,,,
C5-21502,,B5-01502,RFID Reader,,ACS,,B5-05502,,A5-0502,CCTV,,,,,,,,,,
C5-21503,,B5-01503,RFID Reader,,ACS,,B5-05503,,A5-0503,CCTV,,,,,,,,,,
C5-21504,,B5-01504,RFID Reader,,ACS,,B5-05504,,A5-0504,CCTV,,,,,,,,,,
C5-21505,,B5-01505,RFID Reader,,ACS,,B5-05505,,A5-0505,CCTV,,,,,,,,,,
C5-21506,,B5-01506,RFID Reader,,ACS,,B5-05506,,A5-0506,CCTV,,,,,,,,,,
C5-21507,,B5-01507,RFID Reader,,ACS,,B5-05507,,A5-0507,CCTV,,,,,,,,,,
C5-21508,,B5-01508,RFID Reader,,ACS,,B5-05508,,A5-0508,CCTV,,,,,,,,,,
C5-21509,,B5-01509,RFID Reader,,ACS,,B5-05509,,A5-0509,CCTV,,,,,,,,,,
C5-21510,,B5-01510,RFID Reader,,ACS,,B5-05510,,A5-0510,CCTV,,,,,,,,,,
C5-21511,,B5-01511,RFID Reader,,ACS,,B5-05511,,A5-0511,CCTV,,,,,,,,,,
C5-21512,,B5-01512,RFID Reader,,ACS,,B5-05512,,A5-0512,CCTV,,,,,,,,,,
D1-02101,D001,B1-02101,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02102,,B1-02102,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02103,,B1-02103,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02104,,B1-02104,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02105,,B1-02105,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02106,,B1-02106,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02107,,B1-02107,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02108,,B1-02108,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02109,,B1-02109,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02110,,B1-02110,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02111,,B1-02111,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-02112,,B1-02112,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02201,,B2-02201,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02202,,B2-02202,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02203,,B2-02203,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02204,,B2-02204,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02205,,B2-02205,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02206,,B2-02206,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02207,,B2-02207,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02208,,B2-02208,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02209,,B2-02209,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02210,,B2-02210,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02211,,B2-02211,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-02212,,B2-02212,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02301,,B3-02301,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02302,,B3-02302,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02303,,B3-02303,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02304,,B3-02304,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02305,,B3-02305,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02306,,B3-02306,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02307,,B3-02307,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02308,,B3-02308,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02309,,B3-02309,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02310,,B3-02310,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02311,,B3-02311,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-02312,,B3-02312,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02401,,B4-02401,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02402,,B4-02402,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02403,,B4-02403,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02404,,B4-02404,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02405,,B4-02405,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02406,,B4-02406,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02407,,B4-02407,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02408,,B4-02408,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02409,,B4-02409,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02410,,B4-02410,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02411,,B4-02411,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-02412,,B4-02412,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02501,,B5-02501,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02502,,B5-02502,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02503,,B5-02503,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02504,,B5-02504,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02505,,B5-02505,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02506,,B5-02506,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02507,,B5-02507,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02508,,B5-02508,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02509,,B5-02509,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02510,,B5-02510,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02511,,B5-02511,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-02512,,B5-02512,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12101,,B1-02101,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12102,,B1-02102,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12103,,B1-02103,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12104,,B1-02104,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12105,,B1-02105,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12106,,B1-02106,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12107,,B1-02107,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12108,,B1-02108,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12109,,B1-02109,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12110,,B1-02110,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12111,,B1-02111,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-12112,,B1-02112,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12201,,B2-02201,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12202,,B2-02202,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12203,,B2-02203,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12204,,B2-02204,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12205,,B2-02205,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12206,,B2-02206,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12207,,B2-02207,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12208,,B2-02208,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12209,,B2-02209,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12210,,B2-02210,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12211,,B2-02211,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-12212,,B2-02212,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12301,,B3-02301,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12302,,B3-02302,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12303,,B3-02303,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12304,,B3-02304,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12305,,B3-02305,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12306,,B3-02306,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12307,,B3-02307,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12308,,B3-02308,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12309,,B3-02309,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12310,,B3-02310,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12311,,B3-02311,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-12312,,B3-02312,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12401,,B4-02401,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12402,,B4-02402,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12403,,B4-02403,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12404,,B4-02404,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12405,,B4-02405,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12406,,B4-02406,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12407,,B4-02407,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12408,,B4-02408,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12409,,B4-02409,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12410,,B4-02410,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12411,,B4-02411,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D4-12412,,B4-02412,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12501,,B5-02501,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12502,,B5-02502,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12503,,B5-02503,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12504,,B5-02504,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12505,,B5-02505,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12506,,B5-02506,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12507,,B5-02507,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12508,,B5-02508,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12509,,B5-02509,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12510,,B5-02510,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12511,,B5-02511,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D5-12512,,B5-02512,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22101,,B1-02101,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22102,,B1-02102,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22103,,B1-02103,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22104,,B1-02104,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22105,,B1-02105,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22106,,B1-02106,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22107,,B1-02107,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22108,,B1-02108,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22109,,B1-02109,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22110,,B1-02110,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22111,,B1-02111,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D1-22112,,B1-02112,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22201,,B2-02201,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22202,,B2-02202,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22203,,B2-02203,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22204,,B2-02204,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22205,,B2-02205,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22206,,B2-02206,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22207,,B2-02207,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22208,,B2-02208,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22209,,B2-02209,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22210,,B2-02210,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22211,,B2-02211,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D2-22212,,B2-02212,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-22301,,B3-02301,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-22302,,B3-02302,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-22303,,B3-02303,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-22304,,B3-02304,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
D3-22305,,B3-02305,Smoke Sensor,,FDAS,,,,,,,,,,,,,,,
